date,min_edst,max_kp,category
2017-08-03,-16.4296875,3.67,quiet
2017-08-04,-58.959635416666664,4.33,disturbance
2017-08-05,-18.1552734375,3.67,quiet
2017-08-06,nan,4.33,missing
2017-08-07,nan,2.0,missing
2017-08-08,-53.054296875,2.0,disturbance
2017-08-09,-10.7998046875,1.33,quiet
2017-08-10,-14.7589111328125,2.0,quiet
2017-08-11,-75.7698974609375,3.0,disturbance
2017-08-12,-23.7255859375,3.33,quiet
2017-08-13,-39.1553955078125,2.33,disturbance
2017-08-14,-9.7705078125,2.0,quiet
2017-08-15,-12.03125,1.0,quiet
2017-08-16,-11.9951171875,2.0,quiet
2017-08-17,-74.33854166666667,4.67,disturbance
2017-08-18,-82.1165771484375,4.67,disturbance
2017-08-19,-84.97395833333333,4.67,disturbance
2017-08-20,-32.83984375,5.0,disturbance
2017-08-21,nan,3.0,missing
2017-08-22,-31.1123046875,4.67,disturbance
2017-08-23,nan,4.67,missing
2017-08-24,nan,3.67,missing
2017-08-25,-10.8515625,1.67,quiet
2017-08-26,-9.221354166666666,1.33,quiet
2017-08-27,-44.619140625,3.0,disturbance
2017-08-28,-20.767578125,0.67,quiet
2017-08-29,-15.75,4.0,disturbance
2017-08-30,nan,2.0,missing
2017-08-31,-85.404296875,5.33,disturbance
2017-09-01,-57.2734375,4.0,disturbance
2017-09-02,-36.853515625,4.67,disturbance
2017-09-03,-23.6396484375,2.67,quiet
2017-09-04,-33.4931640625,4.67,disturbance
2017-09-05,-30.248046875,4.0,disturbance
2017-09-06,-13.203125,3.33,quiet
2017-09-07,-173.9482421875,7.67,disturbance
2017-09-08,-104.1376953125,8.33,disturbance
2017-09-09,-36.3544921875,2.33,disturbance
2017-09-10,-8.990234375,3.0,quiet
2017-09-11,-29.318359375,3.33,quiet
2017-09-12,-73.583984375,5.33,disturbance
2017-09-13,-69.8193359375,5.33,disturbance
2017-09-14,-52.140625,5.33,disturbance
2017-09-15,nan,5.67,missing
2017-09-16,nan,5.33,missing
2017-09-17,nan,4.0,missing
2017-09-18,-29.565104166666668,4.33,disturbance
2017-09-19,-20.427734375,2.67,quiet
2017-09-20,-26.44921875,3.33,quiet
2017-09-21,nan,2.33,missing
2017-09-22,-14.390625,2.33,quiet
2017-09-23,-9.1357421875,2.33,quiet
2017-09-24,-24.90625,2.67,quiet
2017-09-25,-26.7548828125,2.33,quiet
2017-09-26,-11.96484375,2.0,quiet
2017-09-27,nan,6.33,missing
2017-09-28,-46.1142578125,6.67,disturbance
2017-09-29,-23.85546875,3.33,quiet
2017-09-30,-27.384765625,4.0,disturbance
2017-10-01,nan,3.33,missing
2017-10-02,-12.2294921875,3.33,quiet
2017-10-03,nan,3.0,missing
2017-10-04,nan,2.33,missing
2017-10-05,nan,3.33,missing
2017-10-06,nan,2.67,missing
2017-10-07,nan,1.67,missing
2017-10-08,nan,1.67,missing
2017-10-09,nan,2.0,missing
2017-10-10,-33.9384765625,2.0,disturbance
2017-10-11,nan,4.67,missing
2017-10-12,nan,5.0,missing
2017-10-13,nan,5.67,missing
2017-10-14,-63.4453125,5.0,disturbance
2017-10-15,-35.96484375,5.33,disturbance
2017-10-16,nan,3.0,missing
2017-10-17,-13.057291666666666,1.67,quiet
2017-10-18,-21.03515625,2.33,quiet
2017-10-19,-25.537109375,3.67,quiet
2017-10-20,nan,3.67,missing
2017-10-21,nan,3.0,missing
2017-10-22,-30.359375,3.0,disturbance
2017-10-23,-16.788411458333332,2.33,quiet
2017-10-24,-59.129557291666664,4.67,disturbance
2017-10-25,-24.2734375,4.67,disturbance
2017-10-26,-57.98046875,4.33,disturbance
2017-10-27,-12.505208333333334,2.0,quiet
2017-10-28,-10.51953125,2.0,quiet
2017-10-29,-9.78515625,1.67,quiet
2017-10-30,-8.547526041666666,1.0,quiet
2017-10-31,-13.9580078125,1.67,quiet
2017-11-01,-17.4482421875,1.33,quiet
2017-11-02,-51.21875,3.0,disturbance
2017-11-03,-49.3525390625,3.33,disturbance
2017-11-04,nan,1.33,missing
2017-11-05,-13.012369791666666,0.67,quiet
2017-11-06,-8.874348958333334,0.67,quiet
2017-11-07,-60.536458333333336,6.33,disturbance
2017-11-08,nan,6.33,missing
2017-11-09,-26.20703125,3.67,quiet
2017-11-10,-21.8828125,4.0,disturbance
2017-11-11,-15.3671875,3.0,quiet
2017-11-12,nan,2.33,missing
2017-11-13,-21.841796875,2.33,quiet
2017-11-14,-30.7890625,3.0,disturbance
2017-11-15,-28.954427083333332,3.33,quiet
2017-11-16,-14.723958333333334,4.33,disturbance
2017-11-17,-18.076822916666668,2.33,quiet
2017-11-18,-12.38671875,2.0,quiet
2017-11-19,nan,2.33,missing
2017-11-20,-45.161458333333336,3.67,disturbance
2017-11-21,-41.356770833333336,5.0,disturbance
2017-11-22,-15.1826171875,3.0,quiet
2017-11-23,-10.9375,2.67,quiet
2017-11-24,-24.892578125,3.33,quiet
2017-11-25,-14.3125,3.33,quiet
2017-11-26,-17.473958333333332,1.0,quiet
2017-11-27,-20.0390625,2.0,quiet
2017-11-28,-31.490234375,3.33,disturbance
2017-11-29,-24.630859375,2.0,quiet
2017-11-30,nan,4.0,missing
2017-12-01,nan,2.67,missing
2017-12-02,nan,2.33,missing
2017-12-03,nan,0.67,missing
2017-12-04,nan,4.0,missing
2017-12-05,nan,5.0,missing
2017-12-06,-22.279296875,4.0,disturbance
2017-12-07,nan,3.33,missing
2017-12-08,nan,2.0,missing
2017-12-09,-17.1640625,1.67,quiet
2017-12-10,nan,1.33,missing
2017-12-11,nan,3.33,missing
2017-12-12,nan,4.0,missing
2017-12-13,-17.6171875,2.67,quiet
2017-12-14,nan,2.67,missing
2017-12-15,nan,1.33,missing
2017-12-16,nan,2.0,missing
2017-12-17,nan,4.67,missing
2017-12-18,nan,4.33,missing
2017-12-19,nan,2.33,missing
2017-12-20,-23.5078125,2.0,quiet
2017-12-21,nan,1.0,missing
2017-12-22,nan,1.0,missing
2017-12-23,nan,2.67,missing
2017-12-24,nan,3.33,missing
2017-12-25,nan,3.0,missing
2017-12-26,nan,3.67,missing
2017-12-27,nan,2.67,missing
2017-12-28,nan,1.67,missing
2017-12-29,nan,2.33,missing
2017-12-30,nan,1.67,missing
2017-12-31,nan,2.0,missing
2018-01-01,nan,3.67,missing
2018-01-02,nan,2.0,missing
2018-01-03,nan,1.0,missing
2018-01-04,-9.93359375,1.33,quiet
2018-01-05,-13.39453125,2.0,quiet
2018-01-06,-8.557291666666666,1.33,quiet
2018-01-07,-8.461588541666666,1.0,quiet
2018-01-08,-49.221354166666664,3.67,disturbance
2018-01-09,-20.765625,3.67,quiet
2018-01-10,-16.824869791666668,1.67,quiet
2018-01-11,-8.134765625,1.0,quiet
2018-01-12,-16.82421875,1.33,quiet
2018-01-13,-17.83203125,3.0,quiet
2018-01-14,-24.8125,4.67,disturbance
2018-01-15,-20.7529296875,3.67,quiet
2018-01-16,-15.20703125,2.0,quiet
2018-01-17,-8.501302083333334,0.67,quiet
2018-01-18,-11.345703125,0.33,quiet
2018-01-19,nan,2.67,missing
2018-01-20,-13.332682291666666,3.0,quiet
2018-01-21,-33.048828125,3.0,disturbance
2018-01-22,-20.681640625,3.33,quiet
2018-01-23,-13.486328125,2.0,quiet
2018-01-24,-45.236979166666664,4.0,disturbance
2018-01-25,nan,3.0,missing
2018-01-26,-22.6650390625,3.0,quiet
2018-01-27,nan,2.67,missing
2018-01-28,nan,1.67,missing
2018-01-29,-18.0498046875,1.0,quiet
2018-01-30,-18.3583984375,2.33,quiet
2018-01-31,-27.345052083333332,2.67,quiet
2018-02-01,-18.9609375,2.67,quiet
2018-02-02,-20.899088541666668,2.0,quiet
2018-02-03,-8.853515625,1.67,quiet
2018-02-04,-11.62890625,2.33,quiet
2018-02-05,-24.38203125,3.0,quiet
2018-02-06,-17.930989583333332,2.33,quiet
2018-02-07,-16.6279296875,1.67,quiet
2018-02-08,-15.026041666666666,1.33,quiet
2018-02-09,nan,2.67,missing
2018-02-10,-22.28125,2.33,quiet
2018-02-11,-11.9755859375,0.67,quiet
2018-02-12,nan,1.67,missing
2018-02-13,-21.1298828125,0.67,quiet
2018-02-14,-10.67578125,1.33,quiet
2018-02-15,-42.6728515625,4.67,disturbance
2018-02-16,-20.775390625,2.33,quiet
2018-02-17,-29.6806640625,3.67,quiet
2018-02-18,nan,4.0,missing
2018-02-19,-20.75390625,4.0,disturbance
2018-02-20,-14.86328125,2.67,quiet
2018-02-21,-17.44140625,2.0,quiet
2018-02-22,-15.878515625,3.67,quiet
2018-02-23,-44.466145833333336,4.33,disturbance
2018-02-24,-24.9052734375,3.33,quiet
2018-02-25,-13.9990234375,2.0,quiet
2018-02-26,nan,3.0,missing
2018-02-27,nan,5.33,missing
2018-02-28,-10.125,2.33,quiet
2018-03-01,nan,2.67,missing
2018-03-02,nan,2.67,missing
2018-03-03,-21.4755859375,2.67,quiet
2018-03-04,nan,2.67,missing
2018-03-05,-11.53515625,1.33,quiet
2018-03-06,nan,2.0,missing
2018-03-07,nan,2.67,missing
2018-03-08,-10.7939453125,1.67,quiet
2018-03-09,-51.002604166666664,4.33,disturbance
